           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1981,            203,   168.9782    ,   136.1736    ,  0.1841877    ,   330.3192    ,   375.3927    ,   12.04053    ,   23.03127    ,   56.11960    ,   11.38372    ,   9.909637    ,   11.26245    ,   7.088850    ,   0.000000    ,   13.48071    ,   12.00342    ,   10.65488    ,   1.281860    ,  0.8271945E-02,   1.061795    ,   81173.59    ,
           1981,            204,   128.8347    ,   104.2997    ,  0.1830699    ,   326.2078    ,   367.2611    ,   10.52582    ,   16.94835    ,   45.52365    ,  0.9314067    ,   8.478821    ,   9.655701    ,   7.108927    ,   0.000000    ,   12.21600    ,   10.88635    ,   10.27451    ,   1.322266    ,  0.7794119E-02,   1.085701    ,   81355.62    ,
           1981,            205,   79.78107    ,   64.46316    ,  0.1832223    ,   332.0734    ,   357.2233    ,   8.581238    ,   9.875781    ,   31.60639    ,  -2.530266    ,   7.136108    ,   7.647949    ,   7.134461    , -0.6805420E-02,   10.05515    ,   9.155273    ,   9.022766    ,   1.360046    ,  0.7413549E-02,   1.054613    ,   81730.10    ,
           1981,            206,   280.6782    ,   226.1735    ,  0.1834587    ,   291.1627    ,   373.3464    ,   11.50574    ,   46.84865    ,   72.76756    ,   24.39003    ,   8.282745    ,   11.02664    ,   7.122973    , -0.1040955    ,   12.41971    ,   10.92432    ,   8.609863    ,   1.391876    ,  0.6457656E-02,   1.105035    ,   81685.66    ,
           1981,            207,   294.7509    ,   235.6411    ,  0.1876445    ,   286.3893    ,   382.6090    ,   13.07367    ,   41.02413    ,   71.88216    ,   26.19806    ,   11.02087    ,   12.86584    ,   7.090386    , -0.1182251    ,   2.811951    ,   12.29593    ,   9.916626    ,   1.424072    ,  0.6450150E-02,   1.029628    ,   81393.41    ,
           1981,            208,   284.7160    ,   227.0434    ,  0.1890605    ,   297.0119    ,   390.6490    ,   14.63553    ,   36.85265    ,   74.55206    ,   21.94733    ,   12.90375    ,   14.36163    ,   7.064612    , -0.5145264E-01,  0.4403992    ,   13.89813    ,   11.56384    ,   1.463257    ,  0.7322017E-02,   1.019883    ,   81175.76    ,
           1981,            209,   258.6316    ,   206.1268    ,  0.1880752    ,   301.5571    ,   386.3184    ,   13.88220    ,   32.85786    ,   75.51560    ,   12.57142    ,   12.06616    ,   13.02838    ,   7.053541    , -0.4974365E-02,  0.6671753    ,   13.76483    ,   12.21686    ,   1.511108    ,  0.7597376E-02,   1.081226    ,   80657.80    ,
           1981,            210,   198.9696    ,   159.9065    ,  0.1835731    ,   330.4352    ,   381.3282    ,   13.15073    ,   28.71308    ,   74.01694    ,   6.280146    ,   10.18439    ,   12.08813    ,   7.060976    ,   0.000000    ,   11.06360    ,   13.41171    ,   12.32281    ,   1.561127    ,  0.8358904E-02,   1.157693    ,   80405.79    ,
           1981,            211,   120.9238    ,   97.63889    ,  0.1818357    ,   327.9752    ,   361.5544    ,   9.408081    ,   17.97499    ,   51.10114    ,  -4.733632    ,   6.867126    ,   8.178680    ,   7.101799    ,   0.000000    ,   11.02997    ,   10.27234    ,   10.49399    ,   1.612000    ,  0.7122636E-02,   1.345607    ,   80641.20    ,
           1981,            212,   212.1145    ,   170.7472    ,  0.1835251    ,   304.4695    ,   369.9776    ,   10.93286    ,   33.01072    ,   59.85184    ,   13.22288    ,   8.454590    ,   10.25055    ,   7.099836    , -0.4455566E-02,   13.72964    ,   10.84900    ,   9.369019    ,   1.653687    ,  0.7001816E-02,   1.036021    ,   81026.23    ,
           1981,            213,   252.7005    ,   202.9378    ,  0.1848435    ,   285.5570    ,   371.3341    ,   11.09943    ,   37.07644    ,   68.01254    ,   12.57009    ,   8.862549    ,   10.41833    ,   7.099197    , -0.2603149E-01,   9.188385    ,   11.06583    ,   9.630829    ,   1.692810    ,  0.6468739E-02,   1.026230    ,   81059.05    ,
           1981,            214,   286.7687    ,   229.3878    ,  0.1867262    ,   280.7168    ,   377.5501    ,   12.19702    ,   39.16636    ,   75.05708    ,   18.10854    ,   10.05472    ,   11.68521    ,   7.085274    , -0.3155823    ,   3.785278    ,   11.86670    ,   10.06207    ,   1.734924    ,  0.6471418E-02,   1.030531    ,   80965.49    ,
           1981,            215,   221.5676    ,   177.1150    ,  0.1875953    ,   288.6514    ,   371.4621    ,   11.11389    ,   27.11753    ,   61.21419    ,   5.732051    ,   9.604492    ,   10.31964    ,   7.084728    , -0.6005859E-01,   2.884644    ,   11.22647    ,   10.33698    ,   1.781128    ,  0.6629373E-02,   1.050998    ,   80847.87    ,
           1981,            216,   206.7768    ,   165.9632    ,  0.1855614    ,   293.1047    ,   368.9441    ,   10.71548    ,   27.34619    ,   57.80473    ,   5.622575    ,   9.161072    ,   9.748535    ,   7.095168    , -0.2819824E-01,   7.136322    ,   10.93677    ,   10.05191    ,   1.826752    ,  0.7441470E-02,   1.017847    ,   81057.54    ,
           1981,            217,   268.5230    ,   215.2805    ,  0.1852241    ,   294.6875    ,   381.3424    ,   12.91385    ,   38.18265    ,   66.93970    ,   23.82940    ,   11.16504    ,   12.53650    ,   7.096344    , -0.1885986E-01,   8.930481    ,   12.29922    ,   10.10675    ,   1.870941    ,  0.7358463E-02,   1.010254    ,   81677.45    ,
           1981,            218,   269.1697    ,   214.7077    ,  0.1880269    ,   301.7908    ,   391.1132    ,   14.70999    ,   35.10617    ,   67.15099    ,   23.08761    ,   13.67926    ,   14.54822    ,   7.085915    , -0.2008057    ,   1.992249    ,   13.91119    ,   11.56943    ,   1.919006    ,  0.7730091E-02,   1.021664    ,   82087.57    ,
           1981,            219,   217.3341    ,   172.7576    ,  0.1897932    ,   322.0723    ,   388.8896    ,   14.37445    ,   28.90882    ,   62.49069    ,   14.00987    ,   13.07248    ,   13.80127    ,   7.089826    ,   0.000000    ,  0.9587097    ,   14.09351    ,   12.45764    ,   1.976074    ,  0.8650021E-02,   1.050805    ,   82098.71    ,
           1981,            220,   280.0381    ,   224.8421    ,  0.1839245    ,   312.2932    ,   398.5231    ,   16.18311    ,   38.20980    ,   80.52004    ,   20.39882    ,   13.98230    ,   15.76651    ,   7.079345    , -0.3051758E-04,   6.330017    ,   15.58459    ,   13.22089    ,   2.037048    ,  0.8615538E-02,   1.010482    ,   82030.58    ,
           1981,            221,   313.2871    ,   250.3302    ,  0.1868319    ,   280.8037    ,   395.7435    ,   15.47049    ,   43.92152    ,   75.01374    ,   16.30599    ,   13.53842    ,   14.95972    ,   7.081842    , -0.3765869E-01,  0.2723999    ,   15.13074    ,   13.25977    ,   2.102264    ,  0.7710336E-02,   1.032456    ,   81917.59    ,
           1981,            222,   295.0368    ,   234.8647    ,  0.1891323    ,   303.0509    ,   405.0509    ,   17.11639    ,   39.75369    ,   71.00622    ,   21.82007    ,   15.59329    ,   16.71475    ,   7.056358    ,   0.000000    ,  0.1123047    ,   16.21243    ,   13.83215    ,   2.168243    ,  0.8540197E-02,  0.9923685    ,   81711.19    ,
           1981,            223,   273.7457    ,   218.1882    ,  0.1885861    ,   311.1211    ,   405.5465    ,   17.33478    ,   35.36028    ,   71.56876    ,   16.32119    ,   16.11154    ,   16.70630    ,   7.043606    ,   0.000000    ,  0.4797974    ,   16.75720    ,   14.69525    ,   2.239258    ,  0.9728213E-02,   1.059604    ,   81540.23    ,
           1981,            224,   228.7100    ,   182.7794    ,  0.1870314    ,   312.0983    ,   394.0519    ,   15.35980    ,   27.80872    ,   67.59025    ,   4.978268    ,   13.97452    ,   14.45120    ,   7.047283    ,   0.000000    ,  0.7553711    ,   15.37289    ,   14.33264    ,   2.318604    ,  0.9270420E-02,   1.064115    ,   81046.90    ,
           1981,            225,   254.9211    ,   204.8654    ,  0.1835613    ,   324.9797    ,   401.0482    ,   16.68478    ,   37.27011    ,   75.14184    ,   15.95914    ,   14.46848    ,   16.11853    ,   7.039130    ,   0.000000    ,   1.780121    ,   16.23236    ,   14.18484    ,   2.395935    ,  0.9453881E-02,   1.211714    ,   81034.63    ,
           1981,            226,   244.6744    ,   195.7013    ,  0.1857660    ,   305.2234    ,   393.9945    ,   15.27963    ,   29.98367    ,   67.61828    ,   9.070874    ,   14.13406    ,   14.43427    ,   7.047179    ,  0.6103516E-04,   1.472748    ,   15.24521    ,   13.87677    ,   2.473816    ,  0.9148926E-02,   1.041831    ,   81123.09    ,
           1981,            227,   275.9951    ,   220.8396    ,  0.1853494    ,   299.2644    ,   398.2027    ,   15.97885    ,   36.27896    ,   68.61805    ,   16.80491    ,   14.98077    ,   15.31467    ,   7.050748    ,   0.000000    ,   3.397644    ,   15.59738    ,   13.63666    ,   2.550659    ,  0.9260793E-02,  0.9818199    ,   81450.22    ,
           1981,            228,   255.3837    ,   204.0035    ,  0.1865000    ,   302.7041    ,   394.8446    ,   15.40683    ,   33.30594    ,   67.72715    ,   10.62933    ,   14.23114    ,   14.58328    ,   7.060090    ,   0.000000    ,   1.970673    ,   15.22220    ,   13.73956    ,   2.629974    ,  0.8762791E-02,  0.9953458    ,   81508.83    ,
           1981,            229,   207.9859    ,   166.8721    ,  0.1908439    ,   315.0555    ,   386.7211    ,   14.07834    ,   29.60091    ,   63.97409    ,   2.484723    ,   12.51566    ,   12.96219    ,   7.061924    ,   0.000000    ,   3.273499    ,   14.47729    ,   13.55121    ,   2.712067    ,  0.9476139E-02,   1.048483    ,   81131.04    ,
           1981,            230,   268.9218    ,   215.6912    ,  0.1908680    ,   289.5266    ,   386.2025    ,   13.83105    ,   37.65341    ,   69.74851    ,   11.40029    ,   12.18604    ,   12.97601    ,   7.066198    ,   0.000000    ,   3.712952    ,   13.85681    ,   12.45648    ,   2.792664    ,  0.8421545E-02,   1.053173    ,   81119.63    ,
           1981,            231,   271.4009    ,   216.9245    ,  0.1927132    ,   296.0806    ,   392.2331    ,   14.83478    ,   36.80135    ,   64.93967    ,   18.20109    ,   13.32001    ,   14.55103    ,   7.052446    ,   0.000000    ,  0.2158813    ,   14.19528    ,   12.38245    ,   2.868042    ,  0.7783407E-02,   1.051841    ,   80915.30    ,
           1981,            232,   156.9790    ,   126.0586    ,  0.1892812    ,   315.7530    ,   376.8542    ,   12.24963    ,   17.53440    ,   53.82462    ,  -5.310193    ,   11.25415    ,   11.39914    ,   7.067539    ,   0.000000    ,   3.996185    ,   12.78644    ,   12.53674    ,   2.947021    ,  0.7873666E-02,   1.029627    ,   80814.48    ,
           1981,            233,   218.8727    ,   175.8689    ,  0.1854935    ,   285.6219    ,   369.8540    ,   10.81018    ,   33.58034    ,   58.85987    , -0.6180808    ,   9.020844    ,   10.04962    ,   7.098300    , -0.2184753    ,   5.933655    ,   11.21371    ,   10.80447    ,   3.021423    ,  0.6378499E-02,   1.044728    ,   81046.13    ,
           1981,            234,   267.3046    ,   214.0113    ,  0.1868743    ,   276.5888    ,   376.9113    ,   11.97601    ,   39.08941    ,   60.87629    ,   13.31530    ,   10.39496    ,   11.83047    ,   7.093027    ,  -1.129211    ,   1.839325    ,   11.46497    ,   10.10172    ,   3.082916    ,  0.5888462E-02,   1.001564    ,   81232.90    ,
           1981,            235,   269.2459    ,   215.4182    ,  0.1873032    ,   288.9262    ,   386.5101    ,   13.79254    ,   39.61797    ,   60.75252    ,   17.37483    ,   13.25946    ,   13.90778    ,   7.064746    , -0.1047363    ,  0.2709961E-01,   12.79730    ,   10.94244    ,   3.142548    ,  0.6023315E-02,   1.346760    ,   81219.96    ,
           1981,            236,   275.7510    ,   220.4965    ,  0.1872567    ,   287.1696    ,   390.3962    ,   14.44174    ,   40.61450    ,   58.58776    ,   17.56851    ,   14.01965    ,   14.46796    ,   7.053281    , -0.1489258E-01,   0.000000    ,   13.43201    ,   11.61151    ,   3.208984    ,  0.6403547E-02,   1.364480    ,   81103.66    ,
           1981,            237,   261.5186    ,   209.2453    ,  0.1870249    ,   304.6878    ,   398.5356    ,   16.02655    ,   40.44619    ,   55.53122    ,   19.18550    ,   15.83612    ,   15.93427    ,   7.038912    , -0.5340576E-02,   0.000000    ,   14.87085    ,   12.70905    ,   3.280975    ,  0.7707942E-02,   1.497463    ,   81284.03    ,
           1981,            238,   245.1818    ,   195.8715    ,  0.1880398    ,   312.8202    ,   401.3508    ,   16.55460    ,   37.12960    ,   53.28792    ,   16.71609    ,   16.39807    ,   16.09702    ,   7.035021    ,   0.000000    ,   0.000000    ,   15.70474    ,   13.63306    ,   3.361877    ,  0.8455488E-02,   1.443677    ,   81354.88    ,
           1981,            239,   275.0695    ,   220.2341    ,  0.1865494    ,   273.9042    ,   394.4947    ,   15.24185    ,   41.91048    ,   55.39357    ,   2.956234    ,   15.54297    ,   14.49222    ,   7.041559    ,   0.000000    ,  0.6103516E-04,   14.76611    ,   13.65152    ,   3.450104    ,  0.4782388E-02,   1.315757    ,   81058.27    ,
