           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1981,            202,   1499.346    ,   494.3293    ,   885.3889    ,   54.48655    ,   830.9036    ,   0.000000    ,   31.13745    ,   11.24010    ,   1.837001    ,   7.509797    ,  0.4543071    ,   7.055490    ,   0.000000    ,  0.7399701E-05,  0.1479284    ,  0.5379135E-02,  0.1974983E-03,   1.699581    ,   21.35277    ,  0.5000065E-03,   21.35327    ,   52.06718    ,  0.1409638E-02,   52.06858    ,   383.1971    ,   52.24971    ,   435.4468    ,   456.6170    ,   52.25163    ,   508.8687    ,   228.5829    ,   0.000000    ,   739.3045    ,   1.361694    ,
           1981,            203,   1507.032    ,   496.2681    ,   890.2253    ,   54.88975    ,   835.3370    ,   0.000000    ,   31.31311    ,   7.685712    ,   1.938718    ,   4.836444    ,  0.4031999    ,   4.433244    ,   0.000000    ,  0.2849667E-05,  0.1443973    ,  0.3896604E-02,  0.1500516E-03,   1.699576    ,   21.11652    ,  0.4899367E-03,   21.11700    ,   52.64348    ,  0.9511341E-03,   52.64443    ,   384.1562    ,   50.42048    ,   434.5767    ,   457.9162    ,   50.42192    ,   508.3381    ,   229.7193    ,   0.000000    ,   739.9055    ,  0.6009521    ,
           1981,            204,   1517.514    ,   497.8409    ,   898.7062    ,   55.30240    ,   843.4051    ,   0.000000    ,   31.49060    ,   10.48183    ,   1.572668    ,   8.480886    ,  0.4126542    ,   8.068232    ,   0.000000    ,  0.7774634E-05,  0.1698213    ,  0.2852544E-02,  0.1121869E-03,   1.708542    ,   21.75671    ,  0.4677287E-03,   21.75718    ,   53.26408    ,  0.8523865E-03,   53.26494    ,   385.1854    ,   48.65438    ,   433.8398    ,   460.2062    ,   48.65570    ,   508.8619    ,   230.8403    ,   0.000000    ,   741.5836    ,   1.678101    ,
           1981,            205,   1531.386    ,   498.9327    ,   909.3868    ,   55.76120    ,   853.6269    ,   0.000000    ,   31.66974    ,   13.87201    ,   1.091880    ,   10.68069    ,  0.4587954    ,   10.22190    ,   0.000000    ,  0.8666582E-03,  0.2034288    ,  0.3275680E-02,  0.9113704E-04,   1.709911    ,   22.07963    ,  0.4474868E-03,   22.08007    ,   53.77979    ,  0.7982544E-03,   53.78058    ,   386.2383    ,   47.02878    ,   433.2671    ,   462.0977    ,   47.03003    ,   509.1278    ,   231.9448    ,   0.000000    ,   742.9902    ,   1.406616    ,
           1981,            206,   1532.001    ,   501.4465    ,   910.8290    ,   56.08022    ,   854.7501    ,   0.000000    ,   31.84631    ,  0.6152408    ,   2.513804    ,   1.442290    ,  0.3190137    ,   1.123276    ,   0.000000    ,  0.5566526E-02,  0.7791672E-01,  0.2808184E-02,  0.6333258E-04,   1.678165    ,   20.76697    ,  0.1036773E-02,   20.76801    ,   53.67986    ,  0.7540678E-03,   53.68061    ,   386.9704    ,   45.68021    ,   432.6507    ,   461.4172    ,   45.68200    ,   507.0993    ,   233.0145    ,   0.000000    ,   741.8784    ,  -1.111816    ,
           1981,            207,   1532.038    ,   503.9298    ,   911.2267    ,   56.41982    ,   854.8080    ,   0.000000    ,   32.01764    ,  0.3719215E-01,   2.483254    ,  0.3977107    ,  0.3396087    ,  0.5810200E-01,   0.000000    ,  0.1071235E-04,  0.5185704E-03,  0.2033128E-02,  0.4206474E-04,   1.586707    ,   19.31354    ,  0.7173333E-03,   19.31426    ,   52.60593    ,  0.6883322E-03,   52.60661    ,   387.2251    ,   44.26558    ,   431.4907    ,   459.1446    ,   44.26699    ,   503.4116    ,   234.0474    ,   0.000000    ,   739.0483    ,  -2.830078    ,
           1981,            208,   1532.626    ,   506.5053    ,   911.6526    ,   56.76432    ,   854.8893    ,   0.000000    ,   32.18365    ,  0.5883254    ,   2.575489    ,  0.4259776    ,  0.3445032    ,  0.8147444E-01,   0.000000    ,  0.2483218E-03,  0.8419393E-02,  0.1286736E-02,  0.2686306E-04,   1.532393    ,   18.26635    ,  0.4434860E-03,   18.26679    ,   51.61225    ,  0.6135817E-03,   51.61287    ,   387.4275    ,   42.65827    ,   430.0858    ,   457.3061    ,   42.65932    ,   499.9655    ,   235.0818    ,   0.000000    ,   736.5895    ,  -2.458740    ,
           1981,            209,   1539.434    ,   509.1140    ,   913.2520    ,   57.08163    ,   856.1713    ,   0.000000    ,   32.34717    ,   6.807485    ,   2.608776    ,   1.599506    ,  0.3173039    ,   1.282202    ,   0.000000    ,  0.1736849E-04,  0.5620955E-01,  0.8922394E-03,  0.2016684E-04,   1.485186    ,   18.21945    ,  0.3371632E-03,   18.21979    ,   50.89376    ,  0.5342541E-03,   50.89429    ,   387.7664    ,   40.88130    ,   428.6477    ,   456.8796    ,   40.88217    ,   497.7618    ,   236.1052    ,   0.000000    ,   735.4092    ,  -1.180298    ,
           1981,            210,   1552.083    ,   511.6710    ,   921.2626    ,   57.53229    ,   863.7312    ,   0.000000    ,   32.51587    ,   12.64954    ,   2.557003    ,   8.010593    ,  0.4506672    ,   7.559926    ,   0.000000    ,  0.1012059E-05,  0.1604271    ,  0.6383351E-03,  0.1727365E-04,   1.603675    ,   21.01783    ,  0.2384340E-03,   21.01807    ,   51.39957    ,  0.4516035E-03,   51.40001    ,   388.3417    ,   39.03045    ,   427.3722    ,   460.7591    ,   39.03114    ,   499.7903    ,   237.1342    ,   0.000000    ,   738.6890    ,   3.279785    ,
           1981,            211,   1583.414    ,   513.4364    ,   949.2875    ,   58.49012    ,   890.7981    ,   0.000000    ,   32.69049    ,   31.33097    ,   1.765349    ,   28.02479    ,  0.9578182    ,   27.06698    ,   0.000000    ,  0.4498241E-06,  0.1870844    ,  0.4838308E-03,  0.1749335E-04,   1.732071    ,   22.54337    ,  0.1253864E-03,   22.54349    ,   53.19667    ,  0.3818095E-03,   53.19706    ,   389.3274    ,   37.25963    ,   426.5870    ,   465.0674    ,   37.26014    ,   502.3276    ,   238.1777    ,   0.000000    ,   742.4250    ,   3.736023    ,
