subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22
71028189	71028159	112013341.6771206	51.47793499616653	-115.26713265126828	1542.95373535156	0.002443535276	9273.265633951378	0.0	0.0	0.1869705900669495	0.0	0.0739196134827622	0.0	0.1183969254594994	0.0	0.0	0.0	0.620712870990789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028510	71028505	73982258.99376212	51.43830767555009	-114.96593100234806	1131.41467285156	0.003096210933	4806.823448020422	0.0	0.0	0.0	0.0	0.0637240626446231	0.0	0.0	0.1391670257054034	0.0	0.1447934854048227	0.2855350660669545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3667803601781961	0.0	0.0	0.0
71028505	71028498	109164968.05346806	52.3691923806311	-114.18969287883927	1128.09899902344	0.003804166124	10947.863021794536	0.0	0.0	0.0	0.0	0.1093277777332883	0.0	0.0	0.2367302551712593	0.0	0.0730471392377528	0.1095964791809653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4712983486767342	0.0	0.0	0.0
71028498	71028494	31548492.136982605	52.42038285285792	-114.59662792312402	1098.30834960938	0.003552760569	7109.4407229931585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2165902789517479	0.0	0.0755624553477231	0.120517621550141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5873296441503879	0.0	0.0	0.0
71028159	71028140	69592039.65164284	51.48169957324289	-114.94178665998268	1793.34838867188	0.002029374135	4229.94142236339	0.0	0.0	0.3064574153222258	0.0	0.0	0.0	0.0	0.0	0.0	0.0562244344299725	0.6373181502478016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028140	71028095	89599251.06289662	51.490988051745816	-115.4298647960712	1699.36499023438	0.001647920648	15024.375306586271	0.0	0.0	0.2357338754554006	0.0	0.0562479451001855	0.0	0.0	0.0	0.0	0.1219302861048932	0.5860878933395205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028095	71028073	32041302.638141673	50.50717276666099	-114.55343238697913	1713.90747070312	0.001314388059	8582.11020996946	0.0	0.0	0.2119574970017548	0.0	0.0752375521397652	0.0	0.0	0.054667244916384	0.0	0.0773127665367557	0.5808249394053401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028073	71028054	70709053.54766677	51.48127416375678	-116.31755357775405	1729.2607421875	0.000145153367	9623.85738577651	0.0	0.0	0.3045118587759945	0.0	0.0667512027625912	0.0	0.0718458719107285	0.0	0.0	0.0909983411890484	0.4658927253616371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028054	71028039	62380276.16224746	51.50807320778517	-115.82450053028353	1628.22412109375	0.001563332534	10789.209312395957	0.0	0.0	0.2325119874980099	0.0	0.0	0.0	0.0	0.1051694888201706	0.0	0.1362915313957712	0.5260269922860482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028494	71028490	46927272.46548165	51.44883712944949	-115.69025065812066	1063.7158203125	0.002993478464	8834.93720802774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2656188238999342	0.0	0.0654948023891233	0.0897790700125815	0.0	0.0	0.0	0.0	0.0	0.0	0.0840788617144664	0.4950284419838945	0.0	0.0	0.0
71028490	71022454	31631389.991637528	50.455855301190866	-114.85620404092953	1013.16345214844	0.00311837643	7330.165883340466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1900850702964106	0.0	0.0988401365514843	0.1347644635023633	0.0	0.0	0.0	0.0	0.0	0.0	0.0700960521254876	0.5062142775242541	0.0	0.0	0.0
71022454	71022198	79273987.77797323	52.819921299947346	-114.61109216175953	980.837280273438	0.002239460884	8783.43314740521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1375989402524739	0.0	0.0875197572391175	0.1025783537108888	0.0	0.0	0.0	0.0	0.0	0.0	0.1036541048978326	0.5686488438996871	0.0	0.0	0.0
71028039	71028027	66504981.169424795	51.500889332580535	-114.22852976766725	1347.12866210938	0.00617106801	8556.970227622478	0.0	0.0	0.0	0.0	0.0	0.0	0.06082043983154	0.4414498251068814	0.0	0.1738242582437187	0.3239054768178598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028027	71028023	44904476.14375422	51.48527110473679	-114.60449374526905	1281.97412109375	0.003348606172	4708.318675673298	0.0	0.0	0.0	0.0	0.1928223708431533	0.0	0.0	0.1881048935131248	0.0	0.4704114287631266	0.1486613068805952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028023	71028014	49836511.44578618	51.500249309218795	-115.62661005849209	1289.5673828125	0.001380840371	8817.674185656031	0.0	0.0	0.0	0.0	0.1384082498825529	0.0	0.0	0.3459530208242573	0.0	0.3153944926396593	0.2002442366535303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028014	71028007	27469020.090835642	50.54868978805397	-114.47179639226631	1260.9208984375	0.00121405977	3615.818497757672	0.0	0.0	0.0	0.0	0.2279378825619681	0.0	0.0	0.3242372057565037	0.0	0.3598368527002228	0.0879880589813053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028007	71027992	44333118.420900784	51.53239105897526	-114.82238511307287	1294.23522949219	0.000106461107	12185.59874328565	0.0	0.0	0.0	0.0	0.0620169396236425	0.0	0.1241477174184689	0.4301280969329486	0.0	0.2756093662626203	0.1080978797623196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022198	71022170	27957672.30569055	50.95241359223304	-115.0347456310679	945.832580566406	0.001874733545	31890.323166093673	0.0	0.0	0.0	0.0	0.0	0.0	0.2998862869235938	0.0698427618803063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6302709511960998	0.0	0.0	0.0
