subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19
71031130	71028757	25071114.932280734	51.23217283684893	-114.81045845888946	5	0.063497455686	218.630116939858	0.0	0.0	0.0	0.0	0.0	0.6738372216749794	0.0	0.1495865108714383	0.1765762674535822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031429	71030308	25188188.32137305	51.344427406140966	-115.45622212723522	5	0.025595635315	327.762132962074	0.0	0.643451135139048	0.0	0.0	0.0	0.0	0.0	0.088324155496112	0.26822470936484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71024578	71022164	25420425.487094283	52.11039948632511	-114.07312751631257	5	0.007512017695	730.21828632318	0.0	0.0	0.057224235445706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.942775764554294	0.0	0.0
71032292	71030270	25591307.97430908	51.62579151857267	-116.08858700954771	5	0.013546719006	493.825993036273	0.0	0.7423456952795314	0.0	0.0	0.0	0.0	0.0824282855595976	0.0705097499233997	0.1047162692374711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71024619	71022248	25798781.322349768	52.096781438149925	-114.71682351532577	5	0.007154547965	1479.5441924134561	0.0	0.0	0.0644890230499373	0.0	0.0	0.0894295833744639	0.0	0.0	0.0956261890911758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7504552044844229	0.0	0.0
71032106	71030390	25809210.5217271	51.58081413847965	-116.03621999723319	5	0.004285541501	442.56311955932995	0.0	0.6152570141559497	0.0	0.0	0.0	0.0	0.2529861165382475	0.0	0.1317568693058028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71038890	71035360	25852939.478708826	50.82079841370111	-115.12621271144793	5	0.053588128872	796.814138301503	0.0	0.3868599077486148	0.0	0.0	0.0	0.0	0.0	0.1936784501262857	0.4194616421250995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031215	71030314	25911235.857262604	51.26424210891431	-114.48916649323627	5	0.010427781664	1263.549004414944	0.0	0.0	0.0868892489280163	0.0	0.0630548816681375	0.2035372605579085	0.0	0.3838363902555435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262682218590394	0.0	0.0
71025839	71024292	26105643.64139337	52.467961007174935	-114.53769312009639	5	0.003302102649	1995.124721639534	0.0	0.0	0.0	0.0	0.0	0.2829631845847324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.631964748971566	0.0	0.0850720664437016
71031640	71029759	26201606.085372984	51.38004054608914	-114.30427034147696	5	0.00595166393	587.2754334850549	0.0	0.0	0.0	0.0	0.0	0.2453939049820423	0.0	0.3761237243653604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3784823706525974	0.0	0.0
