subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19
71030460	71028249	32081967.51822735	51.4018479414558	-116.05402952349029	1691.78723144531	0.023299843828	2430.133665897475	0.0	0.0	0.0	0.02550823000916025	0.0	0.01187911976922337	2.9031981576366436e-05	0.0811076519511686	0.0	0.08135431831774097	0.8001216479711305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71037879	71036422	32712184.40999831	51.132241279550435	-115.52460144927551	1646.17236328125	0.018406534775	683.045474922641	0.0	0.0	0.0	0.001560694539510311	0.0	0.0	0.0	0.30016821650803865	0.0	0.08238428093715039	0.6158868080153007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71037612	71035810	42906694.70934328	51.8798252521496	-114.63627438822769	1405.78796386719	0.013134765721	835.763055485059	0.0	0.0	0.0	6.433184412406126e-05	0.0	0.0019489985115222481	0.004040158513864948	0.6251031283658673	0.0	0.29704455275000463	0.06969458082745061	0.0	0.0	0.00044890649830676114	0.001374776138331563	0.00028056655052778904	0.0	0.0	0.0
71030626	71028054	35839673.295081295	52.02215295249369	-114.00125684475343	1934.48950195312	0.04091411885	4577.660081354641	0.0	0.0	0.0	0.379777196069908	0.0	0.010522638530717367	3.180016644932051e-06	0.0324791933181938	0.0	0.12270575858739338	0.4545120334771426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031855	71030292	169444249.4348269	51.00226063602815	-115.4849700228295	1712.50134277344	0.010866267939	4361.931360100024	0.0	0.0	0.0	0.03016960385444752	0.0	0.017488332180263626	0.0	0.039845682031196095	0.0	0.18604121799047926	0.7236240388234885	0.0	0.0	0.0	0.002831125120125012	0.0	0.0	0.0	0.0
71031155	71030189	519678.62627117	51.565446735395206	-116.15334192439855	1307.947265625	0.022659746868	3510.1202882921807	0.0	0.0	0.0	0.003865066064499489	0.0	0.035951948235080806	0.013158767895376998	0.3578836478407611	0.0	0.21593750159829184	0.0010924088569738233	0.0	0.0	0.0009458057092152196	0.36931435794310813	0.00027584655982791607	0.0	0.0015746492968646338	0.0
71037191	71036466	6172124.794580848	51.95773092369478	-114.24854847963284	2061.3447265625	0.019991666419	2495.6931992460413	0.0	0.0	0.0	0.1561426399831466	0.0	0.0	0.001238147516165416	0.07803461843438535	0.0	0.07242100126865268	0.69216359279765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030831	71028023	24336259.824496232	51.41861381036513	-115.72608049911656	1426.34350585938	0.024975469634	1446.3452475033441	0.0	0.0	0.0	0.0	0.0	0.026255692484640224	0.0020770757366838943	0.6412760278352985	0.0	0.04565864240791986	0.283485662467955	0.0	0.0	0.0	0.0008918001327493624	0.0	0.0	0.0003550989347532181	0.0
71025323	71023994	35225154.54149704	51.594003521305176	-115.29932803870913	975.228515625	0.004584478606	2918.6531094900083	0.0	0.0	0.0	0.0019234474402418543	0.0	0.22285775439446737	0.07511540367205986	0.047194837675010495	0.0	0.012860079064629678	0.005228526330575355	0.0	0.0	0.0073406587897180894	0.6236311681159992	0.00024504685566524646	0.0	0.0036030776616330458	0.0
71032823	71029380	11300854.487559881	52.241400825159666	-114.25527206912668	1176.44213867188	0.004342271302	3287.056593120173	0.0	0.0	0.0	0.011818073673427942	0.0	0.030614070551543436	0.00532757816091976	0.24273821677630064	0.0	0.16375927604209695	0.2038932141793525	0.0	0.0	0.03591266641964298	0.2847449775532659	0.0	0.0	0.021191926643449918	0.0
71038127	71036211	53132072.32944266	51.04671229733861	-115.315660837497	2482.4521484375	0.088978785252	4781.136697872286	0.01156804851642064	0.16289203721893464	0.07551936509850123	0.0	0.10344638270815101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6131200550579998	0.0	0.033454111399992686
71031502	71030243	6014838.225429659	50.86852923447861	-115.43191380349602	2356.85180664062	0.053960518968	2568.789514779739	0.0	0.0	0.0	0.6683709827265647	0.0	0.0	0.0015722888302403875	0.0027230762218097915	0.0005862519268405738	0.07946884168153354	0.23974414260223445	0.0	0.0038860226109576255	0.0007931289847760187	0.002855264415043043	0.0	0.0	0.0	0.0
71032896	71030265	17005354.41436689	52.175248937933944	-114.21816754740439	1284.61560058594	0.005308390749	1956.4482402551998	0.0	0.0	0.0	0.000767123474025031	0.0	0.04302052013641069	0.0021360143908470165	0.5739965409106985	0.0	0.07174415849235201	0.16202387129770832	0.0	0.0	0.03296177817196591	0.030786629606736234	0.00147675070146612	0.0	0.0810866128177901	0.0
71037433	71036250	17150433.267885685	51.762463452566095	-114.64048781752199	2045.04248046875	0.026617813576	4597.285387707986	0.0	0.0	0.0	0.2485812985988429	0.0	0.0003743689932509082	0.000527281882323141	0.04267437643661659	0.0	0.10824803722892873	0.5995946368600379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032618	71029715	68214244.51979646	52.29505364917441	-114.27207331839158	1389.86633300781	0.006701106363	2235.315421084405	0.0	0.0	0.0	0.00023245246565302261	0.0	0.004869340394059423	0.0	0.27857496995582687	0.0	0.13646340204165003	0.5208465989645954	0.0	0.0	0.051946807020758184	0.0017479905878815941	0.0	0.0	0.005318438569575363	0.0
71024598	71024198	107012466.9866703	51.6657032004529	-116.44419530755665	973.469299316406	0.002579987088	6692.046001295711	0.0	0.0	0.0	0.0	0.0	0.03493361091589043	0.00924318541107186	0.10587337360129362	0.0	0.016871837495949074	0.020314087605864405	0.0	0.0	0.035267426720978746	0.7706095392154986	0.00010386915280022496	0.0	0.006783069880652963	0.0
71032479	71028734	4904783.9502296215	51.54050364298726	-114.59648087431694	1221.24340820312	0.005110983891	1718.8437066715342	0.0	0.0	0.0	0.0	0.0	0.02796017126148837	0.004172492485918218	0.3983456663542369	0.0	0.042256331023828336	0.13547561154590224	0.0	0.0	0.0054481027194240314	0.2853093865885357	0.0009456788363115657	0.0	0.10008655918435472	0.0
