,Station ID,seg ID,Station name,up,X,Y,maxup,up1,up2,up3,up4
0,05CC002,71022153,RED DEER RIVER AT RED DEER,1,-113.805,52.276,2,71022160,71023606,0,0
1,05BH004,71027942,BOW RIVER AT CALGARY,0,-114.089,51.051,2,71027957,71030749,0,0
2,Canmore,71028095,Canmore,0,-115.306,51.072,2,71028140,71030717,0,0
3,05BB001,71028585,BOW RIVER AT BANFF,0,-115.559,51.1667,2,71028597,71029857,0,0
